Title,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot,hdr,uhd,subtitles,len_subtitles,len_audio,starring,directors,Title Type,Genre1,Genre2,Genre3,Original or Licensed,Trailer Available,# of Dubbing Languages,# of Subtitle Languages
Hippi,Telugu,5,140,2019,18+,Hippi is about the live-in relationship between an energetic youngster and a confident girl.,,,,,,,,Movie,Comedy, International,,Licensed,Yes,1,8
Project Almanac,English,6.4,106,2015,13+,"When five teens discover a machine that can send them back in time, the possibilities seem endless. But by changing the past, they have threatened the future of our world. Can they undo the damage they have unleashed before it’s too late?",,,,,,,,Movie,Science Fiction,,,Licensed,Yes,7,25
Nana Mama,Marathi,5.8,139,2006,All,"Nana, a taxi driver unknowingly helps DD, a notorious criminal. In order to return the favour, DD forces him to join his gang, but Mama, a smart police officer ruins his plan.",,,,,,,,Movie,Comedy, International,,Licensed,Yes,1,1
Yajamana,Kannada,6.7,161,2019,13+,The film revolves around a hardworking man Krishna who lives in Hulidurga and is famous for traditional oil extraction. He is torn apart from being the rightful owner with the entry of business tycoon Devi Shetty. Will Krishna fight against all odds to bring justice to his people? Who will become the real `Yajamana` is what forms the crux of the story.,,,,,,,,Movie,Drama, Action,,Licensed,Yes,1,9
Sketch,Telugu,5.7,133,2018,13+,"Jeeva alias Sketch (Vikram) is a recovery man who tows back the vehicles whose EMI isn't paid. He falls in love with Ammu (Tamanna Bhatia) who goes against her parents' wish to marry him. Everything seems right when one of after the other, Sketch's friends keep getting killed. How Sketch get to know about what is happening makes the rest of the story.",,,,,,,,Movie,Drama, International,,Licensed,Yes,1,5
48 Hrs.,English,6.9,96,1982,18+,"Nolte is a roughedged cop after two vicious cop-killers. He can’t do it without the help of smooth Murphy, who is serving time for a half-million dollar robbery.",,,,,,,,Movie,Action, Comedy,,Licensed,Yes,6,24
K.G.F: Chapter 1 (Malayalam),Malayalam,8.2,154,2018,13+,KGF Chapter 1 is a film based on the gold mines that represents absolute power. The film is based on power struggle to rule these fields which eventually becomes one man’s destiny and his final destination.,,,,,,,,Movie,Action, International,,Licensed,Yes,1,8
Faasle,Hindi,4.6,146,1985,16+,Vikram (Sunil Dutt) is a wealthy man and has brought up his motherless daughter Chandni (Farah) and son Sanjay (Farooq Shaikh) sacrificing his own personal happiness. When Vijay (Rohan Kapoor) comes into Chandni’s life - her father’s disapproval and her impending arranged marriage threatens the love between Chandni and Vijay. FAASLE is a story of everyone doing what they believe to be right.,,,,,,,,Movie,International, Romance, Drama,Licensed,Yes,1,1
Noor Jahan,Bengali,5.3,142,2018,13+,A Bengali romantic film about the love story of Noor and Jahan that gets threatened by the brutality of politics.,,,,,,,,Movie,Kids, Drama, International,Licensed,Yes,1,1
Jab Tak Hai Jaan,Hindi,6.7,176,2012,13+,"Samar (Shah Rukh Khan) meets Meera (Katrina Kaif) in London & they fall in love. Samar however meets with a serious accident & Meera vows to God to leave Samar, if He allowed him to live. Samar angered with God, becomes a bomb disposal chief in the Indian Army. Here he meets Akira (Anushka Sharma). Is Akira able to unravel the mysteries, does Samar win the battle, or does God surrender to his love?",,,,,,,,Movie,International, Drama, Romance,Licensed,Yes,1,9
